,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
346,Nerlens Noel,DAL,23,83.00,228,Kentucky,USA,2013,1,6,51,8.7,5.8,1,-2.6,0.1,0.225,0.176,0.622,0.078
347,Nick Collison,OKC,36,82.00,255,Kansas,USA,2003,1,12,20,1.7,1.6,0.6,-17.2,0.068,0.186,0.101,0.622,0.171
348,Nick Young,LAL,32,79.00,210,Southern California,USA,2007,1,16,60,13.2,2.3,1,-6.9,0.017,0.081,0.195,0.588,0.057
349,Nicolas Batum,CHA,28,80.00,200,None,France,2008,1,25,77,15.1,6.2,5.9,1.3,0.019,0.184,0.221,0.529,0.273
350,Nicolas Brussino,DAL,24,80.00,215,None,Argentina,Undrafted,Undrafted,Undrafted,54,2.8,1.8,0.9,-10.8,0.053,0.165,0.153,0.498,0.144
351,Nicolas Laprovittola,SAS,27,76.00,180,None,Argentina,Undrafted,Undrafted,Undrafted,18,3.3,0.6,1.6,-9.7,0.007,0.058,0.19,0.579,0.301
352,Nik Stauskas,PHI,23,78.00,205,Michigan,Canada,2014,1,8,80,9.5,2.8,2.4,-4.8,0.011,0.102,0.164,0.54,0.129
353,Nikola Jokic,DEN,22,82.00,250,None,Serbia,2014,2,41,73,16.7,9.8,4.9,5.1,0.119,0.272,0.234,0.64,0.266
354,Nikola Mirotic,CHI,26,82.00,238,None,Montenegro,2011,1,23,70,10.6,5.5,1.1,4.7,0.04,0.208,0.198,0.546,0.069
355,Nikola Vucevic,ORL,26,84.00,260,Southern California,Montenegro,2011,1,16,75,14.6,10.4,2.8,-3.6,0.086,0.306,0.243,0.498,0.157
356,Noah Vonleh,POR,21,81.00,245,Indiana,USA,2014,1,9,74,4.4,5.2,0.4,-2,0.111,0.224,0.131,0.525,0.036
357,Norman Powell,TOR,24,76.00,215,UCLA,USA,2015,2,46,76,8.4,2.2,1.1,3.7,0.022,0.12,0.212,0.552,0.094
358,Norris Cole,OKC,28,74.00,175,Cleveland State,USA,2011,1,28,13,3.3,0.8,1.1,-6.4,0,0.105,0.22,0.381,0.177
359,Okaro White,MIA,24,80.00,204,Florida State,USA,Undrafted,Undrafted,Undrafted,35,2.8,2.3,0.6,8.6,0.061,0.142,0.109,0.507,0.061
360,Omer Asik,NOP,30,84.00,255,None,Turkey,2008,2,36,31,2.7,5.3,0.5,-4.9,0.101,0.252,0.088,0.517,0.044
361,Omri Casspi,MIN,29,81.00,225,None,Israel,2009,1,23,36,5.2,3.1,1,-8.4,0.047,0.167,0.14,0.526,0.087
362,Otto Porter Jr.,WAS,24,80.00,198,Georgetown,USA,2013,1,3,80,13.4,6.4,1.5,3.1,0.05,0.172,0.149,0.628,0.066
363,PJ Tucker,TOR,32,78.00,245,Texas,USA,2006,2,35,81,6.7,5.8,1.2,-1.2,0.056,0.181,0.113,0.516,0.063
364,Pascal Siakam,TOR,23,81.00,230,New Mexico State,Cameroon,2016,1,27,55,4.2,3.4,0.3,0,0.083,0.168,0.131,0.523,0.028
365,Pat Connaughton,POR,24,77.00,210,Notre Dame,USA,2015,2,41,39,2.5,1.3,0.7,-5.2,0.036,0.144,0.132,0.645,0.137
366,Patricio Garino,ORL,24,78.00,203,George Washington,Argentina,Undrafted,Undrafted,Undrafted,5,0,1.4,0,-21.1,0.025,0.133,0.103,0,0
367,Patrick Beverley,HOU,28,73.00,185,Arkansas,USA,2009,2,42,67,9.5,5.9,4.2,7.3,0.05,0.159,0.141,0.546,0.184
368,Patrick McCaw,GSW,21,79.00,185,Nevada-Las Vegas,USA,2016,2,38,71,4,1.4,1.1,-0.7,0.021,0.078,0.119,0.54,0.099
369,Patrick Patterson,TOR,28,81.00,235,Kentucky,USA,2010,1,14,65,6.8,4.5,1.2,10.9,0.045,0.162,0.125,0.542,0.066
370,Patty Mills,SAS,28,72.00,185,Saint Mary's (CA),Australia,2009,2,55,80,9.5,1.8,3.5,12,0.015,0.074,0.189,0.578,0.236
371,Pau Gasol,SAS,36,84.00,250,None,Spain,2001,1,3,64,12.4,7.8,2.3,6.8,0.077,0.271,0.216,0.578,0.143
372,Paul George,IND,27,81.00,220,Fresno State,USA,2010,1,10,75,23.7,6.6,3.3,2.9,0.025,0.178,0.29,0.587,0.157
373,Paul Millsap,ATL,32,80.00,246,Louisiana Tech,USA,2006,2,47,69,18.1,7.7,3.7,2,0.053,0.192,0.243,0.542,0.172
374,Paul Pierce,LAC,39,79.00,235,Kansas,USA,1998,1,10,25,3.2,1.9,0.4,2.4,0.004,0.168,0.149,0.535,0.049
375,Paul Zipser,CHI,23,80.00,210,None,Germany,2016,2,48,44,5.5,2.8,0.8,1.6,0.019,0.138,0.145,0.503,0.062
376,Pierre Jackson,DAL,25,70.00,180,Baylor,USA,2013,2,42,8,4.4,1.1,2.4,31.7,0.011,0.111,0.232,0.416,0.322
377,Quincy Acy,BKN,26,79.00,240,Baylor,USA,2012,2,37,38,5.8,3,0.5,-4.7,0.041,0.192,0.169,0.565,0.053
378,Quinn Cook,NOP,24,74.00,179,Duke,USA,Undrafted,Undrafted,Undrafted,14,5.6,0.5,1.9,-7.7,0.006,0.042,0.199,0.579,0.198
379,RJ Hunter,CHI,23,77.00,185,Georgia State,USA,2015,1,28,3,0,0.3,0,-57.8,0,0.077,0.042,0,0
380,Rajon Rondo,CHI,31,73.00,186,Kentucky,USA,2006,1,21,69,7.8,5.1,6.7,-2.1,0.043,0.167,0.177,0.461,0.361
381,Rakeem Christmas,IND,25,81.00,250,Syracuse,USA,2015,2,36,29,2,1.9,0.1,-10.6,0.127,0.157,0.123,0.529,0.027
382,Ramon Sessions,CHA,31,75.00,190,Nevada,USA,2007,2,56,50,6.2,1.5,2.6,-4.8,0.015,0.078,0.197,0.495,0.24
383,Randy Foye,BKN,33,76.00,218,Villanova,USA,2006,1,7,69,5.2,2.2,2,-7,0.007,0.124,0.145,0.506,0.153
384,Rashad Vaughn,MIL,20,78.00,202,UNLV,USA,2015,1,17,41,3.5,1.2,0.6,-7.6,0.01,0.112,0.173,0.449,0.085
385,Raul Neto,UTA,25,73.00,179,None,Brazil,2013,2,47,40,2.5,0.8,0.9,13.9,0.014,0.084,0.147,0.527,0.14
386,Raymond Felton,LAC,33,73.00,205,North Carolina,USA,2005,1,5,80,6.7,2.7,2.4,-4.1,0.021,0.118,0.166,0.496,0.172
387,Reggie Bullock,DET,26,79.00,205,North Carolina,USA,2013,1,25,31,4.5,2.1,0.9,5,0.029,0.119,0.131,0.538,0.086
388,Reggie Jackson,DET,27,75.00,208,Boston College,Italy,2011,1,24,52,14.5,2.2,5.2,-8.8,0.015,0.077,0.264,0.51,0.306
389,Reggie Williams,NOP,30,78.00,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,6,4.5,1,0.7,-20.2,0.022,0.062,0.132,0.518,0.087
390,Richard Jefferson,CLE,37,79.00,233,Arizona,USA,2001,1,13,79,5.7,2.6,1,3.4,0.02,0.115,0.123,0.574,0.068
391,Richaun Holmes,PHI,23,82.00,245,Bowling Green,USA,2015,2,37,57,9.8,5.5,1,-7.6,0.087,0.198,0.188,0.611,0.081
